כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
אליעזר אלתר 15,104.1,03/04/2025,"1,800,000 ₪",11879-23-15,דירה בבית קומות,5,שניה,1990,"17,291 ₪",1
שלון 7,59.03,31/03/2025,"1,200,000 ₪",11880-8-7,דירה בבית קומות,3,שלישית,1990,"20,329 ₪",3
אליעזר אלתר 13,114.54,24/02/2025,"2,100,000 ₪",11879-23-2,דירה בבית קומות,5,קרקע ראשונה,1990,"18,334 ₪",1
יגאל אלון 35,104.45,19/02/2025,"2,295,900 ₪",12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,30/04/2009,"1,330,000 ₪",12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,19/02/2025,חלק נמכר,12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,מחיר,1,12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,14%,"321,426 ₪",12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,2,14%,12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,"321,426 ₪",3,12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,4,14%,12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,"321,426 ₪",5,12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,6,14%,12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
יגאל אלון 35,104.45,"321,426 ₪",7,12695-43-5,דירה בבית קומות,4,שניה,2009,"22,076 ₪",18
חסידי אומות העולם 11,154.2,04/02/2025,"2,790,000 ₪",11879-9-42,דירה בבית קומות,6,קרקע ראשונה,1990,"18,093 ₪",3
יגאל אלון 39,133.77,16/01/2025,"2,700,000 ₪",12695-43-148,דירה בבית קומות,5,שלישית,2008,"20,184 ₪",12
יגאל אלון 16,106.62,12/01/2025,"2,200,000 ₪",11879-10-13,דירה בבית קומות,5,קרקע+ראשונה,1989,"20,634 ₪",2
אברהם סכנין 7,79.98,09/01/2025,"1,785,000 ₪",11880-16-39,דירה בבית קומות,4,קרקע,1991,"22,595 ₪",3
אברהם סכנין 7,79.98,20/07/2022,"1,520,000 ₪",11880-16-39,דירה בבית קומות,4,קרקע,1991,"22,595 ₪",3
אברהם סכנין 7,79.98,27/08/2015,"1,260,000 ₪",11880-16-39,דירה בבית קומות,4,קרקע,1991,"22,595 ₪",3
