כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
חטיבת כרמלי 21,59.4,06/04/2025,"1,060,000 ₪",10920-100-27,דירה בבית קומות,3,רביעית,1960,"17,966 ₪",5
חטיבת כרמלי 21,59.4,19/12/2018,"600,000 ₪",10920-100-27,דירה בבית קומות,3,רביעית,1960,"17,966 ₪",5
יד לבנים 7,68,01/04/2025,"720,000 ₪",12485-15-6,דירה בבית קומות,3,לא ידוע,1940,"10,588 ₪",3
יד לבנים 37,44.8,27/03/2025,"645,000 ₪",12482-19-9,דירה בבית קומות,2,ראשונה,1960,"14,397 ₪",3
נווה גנים 4,54,25/03/2025,"1,120,000 ₪",10925-216-9,דירה בבית קומות,3,קומה 3,2015,"20,741 ₪",8
נווה גנים 4,54,24/05/2020,"830,000 ₪",10925-216-9,דירה בבית קומות,3,קומה 3,2015,"20,741 ₪",8
יד לבנים 9,32,05/03/2025,"790,000 ₪",12480-4-2,דירה בבית קומות,2,קרקע,1950,"24,688 ₪",3
יד לבנים 9,32,25/11/2021,"525,000 ₪",12480-4-2,דירה בבית קומות,2,קרקע,1950,"24,688 ₪",3
יד לבנים 9,32,22/06/2011,"250,000 ₪",12480-4-2,דירה בבית קומות,2,קרקע,1950,"24,688 ₪",3
יד לבנים 11,51.4,27/02/2025,"930,000 ₪",12480-5-2,דירה בבית קומות,2,ראשונה,1970,"18,235 ₪",5
יד לבנים 11,51.4,21/02/2022,"540,000 ₪",12480-5-2,דירה בבית קומות,2,ראשונה,1970,"18,235 ₪",5
חטיבת כרמלי 57,48,23/02/2025,"790,000 ₪",10925-199-41,דירה בבית קומות,3,שמינית,2000,"16,458 ₪",16
שלום שבזי 17,72.62,20/02/2025,"1,150,000 ₪",10920-106-23,דירה בבית קומות,3,רביעית,1970,"15,972 ₪",5
שלום שבזי 17,72.62,07/01/2021,"665,000 ₪",10920-106-23,דירה בבית קומות,3,רביעית,1970,"15,972 ₪",5
שלום שבזי 17,72.62,24/12/2001,"381,000 ₪",10920-106-23,דירה בבית קומות,3,רביעית,1970,"15,972 ₪",5
החשמל 55,54.7,18/02/2025,"1,300,000 ₪",10920-76-9,דירה בבית קומות,3,ראשונה,1960,"24,074 ₪",3
החשמל 55,54.7,14/05/2023,"850,000 ₪",10920-76-9,דירה בבית קומות,3,ראשונה,1960,"24,074 ₪",3
החשמל 55,54.7,23/06/1998,"328,000 ₪",10920-76-9,דירה בבית קומות,3,ראשונה,1960,"24,074 ₪",3
יד לבנים 83,61.7,18/02/2025,"1,050,000 ₪",10920-117-32,דירה בבית קומות,3,ראשונה,1960,"17,213 ₪",5
יד לבנים 83,61.7,20/01/2017,"670,000 ₪",10920-117-32,דירה בבית קומות,3,ראשונה,1960,"17,213 ₪",5
יד לבנים 63,47.75,17/02/2025,"930,000 ₪",10920-31-15,דירה בבית קומות,2.5,רביעית,1960,"19,787 ₪",5
יד לבנים 63,47.75,16/02/2012,"310,000 ₪",10920-31-15,דירה בבית קומות,2.5,רביעית,1960,"19,787 ₪",5
חטיבת כרמלי 50,43.6,16/02/2025,"770,000 ₪",11212-8-32,דירה בבית קומות,2,שמינית,1970,"17,907 ₪",8
חטיבת כרמלי 50,43.6,07/02/2020,"350,000 ₪",11212-8-32,דירה בבית קומות,2,שמינית,1970,"17,907 ₪",8
זאב בנין 10,54.55,13/02/2025,"1,180,000 ₪",10920-38-5,דירה בבית קומות,3,שלישית,1999,"21,852 ₪",4
זאב בנין 10,54.55,05/08/2001,"463,000 ₪",10920-38-5,דירה בבית קומות,3,שלישית,1999,"21,852 ₪",4
החשמל 78,50.59,11/02/2025,"940,000 ₪",10925-249-18,דירה בבית קומות,3,חמישית,1999,"18,800 ₪",5
החשמל 78,50.59,29/11/2022,"750,000 ₪",10925-249-18,דירה בבית קומות,3,חמישית,1999,"18,800 ₪",5
החשמל 78,50.59,07/09/2017,"600,000 ₪",10925-249-18,דירה בבית קומות,3,חמישית,1999,"18,800 ₪",5
יד לבנים 81,67.3,04/02/2025,"450,000 ₪",10920-117-23,דירה בבית קומות,3,חמישית,1960,"6,716 ₪",5
יד לבנים 81,67.3,17/12/2015,"650,000 ₪",10920-117-23,דירה בבית קומות,3,חמישית,1960,"6,716 ₪",5
יד לבנים 81,67.3,02/03/2014,"452,000 ₪",10920-117-23,דירה בבית קומות,3,חמישית,1960,"6,716 ₪",5
החשמל 4,51.5,04/02/2025,"990,000 ₪",12482-11-3,דירה בבית קומות,2,ראשונה,1960,"19,412 ₪",3
החשמל 4,51.5,14/12/2022,"700,000 ₪",12482-11-3,דירה בבית קומות,2,ראשונה,1960,"19,412 ₪",3
החשמל 4,51.5,24/12/2017,"465,000 ₪",12482-11-3,דירה בבית קומות,2,ראשונה,1960,"19,412 ₪",3
החשמל 7,57.82,31/01/2025,"400,000 ₪",10920-12-5,דירה בבית קומות,3,שניה,1960,"7,018 ₪",3
החשמל 7,57.82,28/09/2008,"250,000 ₪",10920-12-5,דירה בבית קומות,3,שניה,1960,"7,018 ₪",3
נווה גנים 2,53.5,29/01/2025,"1,265,000 ₪",10925-217-14,דירה בבית קומות,3,רביעית,2014,"23,868 ₪",8
נווה גנים 2,53.5,19/06/2022,"1,080,000 ₪",10925-217-14,דירה בבית קומות,3,רביעית,2014,"23,868 ₪",8
נווה גנים 2,53.5,07/12/2014,"770,000 ₪",10925-217-14,דירה בבית קומות,3,רביעית,2014,"23,868 ₪",8
יד לבנים 59,47.75,21/01/2025,"850,000 ₪",10920-29-5,דירה בבית קומות,2,שלישית,1960,"18,085 ₪",5
